Y0tc,Y1tc,Y2tc,Y0,Y1,Y2,Y0p,Y1p,Y2p,Y0i,Y1i,Y2i,Y0z,Y1z,Y2z,X0te,X1te,X2te,X0,X1,X2,RPS,household,village,age_0t1g2000,age_0t1b2000,age_1t5g2000,age_1t5b2000,age_5t9g2000,age_5t9b2000,age_9t14g2000,age_9t14b2000,age_14t18g2000,age_14t18b2000,age_18t30g2000,age_18t30b2000,age_30t60g2000,age_30t60b2000,age_60g2000,age_60b2000,age_0t1g2001,age_0t1b2001,age_1t5g2001,age_1t5b2001,age_5t9g2001,age_5t9b2001,age_9t14g2001,age_9t14b2001,age_14t18g2001,age_14t18b2001,age_18t30g2001,age_18t30b2001,age_30t60g2001,age_30t60b2001,age_60g2001,age_60b2001,age_0t1g2002,age_0t1b2002,age_1t5g2002,age_1t5b2002,age_5t9g2002,age_5t9b2002,age_9t14g2002,age_9t14b2002,age_14t18g2002,age_14t18b2002,age_18t30g2002,age_18t30b2002,age_30t60g2002,age_30t60b2002,age_60g2002,age_60b2002
9.06179,9.128821,8.967972,7.963177,8.03021,7.869359,4.379527,4.331027,4.024052,3.176225,3.235955,2.891719,2.49949,2.462743,2.287032,9.917698,9.855716,9.365561,8.819086,8.757104,8.266948,0,1,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
7.870896,8.884145,8.659358,6.484601,7.49785,7.273064,2.828292,3.738755,3.4291,1.864645,2.96892,2.849855,.6963824,1.315559,.5661934,8.276105,9.003246,8.685854,6.889811,7.616951,7.299559,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
8.262976,9.248382,8.41715,6.876681,7.862087,7.030856,2.952833,4.064774,2.992015,1.739783,2.967413,1.907873,1.204948,2.272033,1.194377,8.036979,9.265759,8.606598,6.650684,7.879464,7.220303,0,3,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
9.057076,9.863012,9.319695,6.754492,7.465117,6.9218,2.835597,3.862744,3.280779,1.653816,2.819431,2.189016,.8970664,1.912193,1.51582,9.212327,9.567472,9.204605,6.909742,7.169577,6.80671,1,4,1,1,0,1,0,0,0,0,0,0,0,2,2,2,1,0,1,1,0,2,0,0,0,0,0,0,0,2,1,2,2,0,1,0,0,3,0,0,0,0,0,0,0,2,1,2,2,0,1
8.953918,9.630293,9.374078,7.162158,7.838533,7.582319,3.390866,4.18186,3.95392,2.733166,2.983354,2.827366,.1393073,2.262038,2.14598,9.826068,10.0704,9.447222,8.034308,8.278638,7.655462,0,5,4,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0
9.769526,9.612133,9.269045,7.823616,7.666223,7.323134,4.132298,4.112405,3.635618,3.081919,2.940467,2.483047,2.319183,2.153186,1.842024,9.962955,10.08553,9.192051,8.017044,8.139618,7.246141,0,6,4,0,0,0,1,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,0
9.240037,9.550733,8.894798,7.042813,7.353508,6.697574,3.262655,3.604921,3.258684,2.407238,2.546923,2.089548,1.124539,1.76566,1.331523,9.632504,9.774259,9.072577,7.435279,7.577034,6.875353,0,7,4,0,0,0,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,2,1,1,1,1,1
9.854376,9.476385,8.544674,8.244938,7.866948,6.935236,4.58836,4.207655,3.125345,3.627936,3.136628,1.774469,2.382898,2.396298,1.267754,10.19865,9.361517,9.112086,8.589208,7.752079,7.502648,0,8,4,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0
9.667653,9.513535,9.275707,7.721743,7.567625,7.329797,3.823522,3.848449,3.768156,2.591381,2.608679,2.557196,2.044285,1.943422,1.887099,9.592573,10.10096,9.665869,7.646663,8.155046,7.719958,0,9,4,0,0,0,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,1,0,0
9.392054,9.369091,8.835553,7.194829,7.066505,6.532968,3.469517,3.224522,2.80946,2.676921,2.029271,1.699886,.5133176,1.443274,.9966629,9.755624,9.550379,9.045358,7.5584,7.247794,6.742773,0,10,4,0,0,1,0,0,0,1,1,0,1,2,2,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,3,1,0,0,0,0,0,2,0,0,0,0,0,1,1,2,3,1,0,0,0
8.741963,9.09968,8.284717,7.643351,7.713385,7.186104,3.811922,4.151462,3.571464,2.909114,2.888148,2.694163,1.624354,2.281747,1.074762,9.072314,9.442039,9.287614,7.973701,8.055744,8.189001,0,11,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
9.906521,8.974446,9.456174,7.709296,6.777221,7.258949,3.992988,3.417599,3.777952,3.225421,2.363472,2.503884,1.375046,1.552622,1.754943,9.956725,9.483185,9.993431,7.759501,7.28596,7.796207,0,12,4,0,0,0,1,0,1,0,1,0,2,0,1,2,1,0,0,0,0,0,1,0,1,0,1,0,2,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,2,0,2,2,1,0,0
9.207594,9.474574,8.994547,7.261684,7.528664,7.048637,3.412412,3.70082,3.489504,2.889965,2.562245,2.346219,.6065126,1.856516,1.700784,9.228424,9.458124,9.569415,7.282514,7.512214,7.623506,0,13,4,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,1,1,0,0
9.088342,9.753403,9.619044,7.296582,7.556178,7.673134,3.497603,3.777574,3.817621,2.929617,2.606959,2.705237,.8164734,1.999828,2.039354,8.917693,9.728895,9.533332,7.125933,7.531671,7.587422,0,14,4,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,1
7.844107,8.860395,8.80168,5.764666,6.780954,6.722238,2.009946,3.478152,3.035911,.98083,2.401327,1.910488,.0923544,1.562318,1.236176,8.442405,9.527677,9.396078,6.362963,7.448236,7.316636,0,15,4,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,1,1,0,0
9.06433,8.469745,8.38847,7.678036,7.083451,7.002175,3.953021,3.305632,3.416936,2.99833,2.263634,2.34522,1.961624,1.451475,1.575268,9.2744,8.852444,9.030537,7.888106,7.46615,7.644243,0,16,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
9.802216,8.906908,9.307292,7.49963,6.960998,7.361382,3.765444,3.579297,3.760106,3.068542,2.190721,2.521814,1.005213,1.644023,1.881199,9.906004,9.732167,10.14734,7.603419,7.786257,8.201427,0,17,4,1,0,0,0,1,0,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0
8.665405,8.914049,8.221861,6.719495,7.527754,6.612422,2.955933,3.909672,3.145496,1.784273,2.443438,1.914394,.736658,1.82436,1.267101,10.0289,9.319273,8.85799,8.082992,7.932978,7.248553,0,18,4,0,1,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
9.334722,9.88108,9.285103,7.542962,8.08932,7.493343,4.228761,4.475362,4.226919,2.770041,3.171462,3.00893,2.13666,2.55976,2.304017,9.962584,10.40619,10.0277,8.170824,8.614429,8.23594,0,19,4,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0
9.29753,9.246202,8.865677,6.994945,7.166761,6.38077,3.48781,3.58836,3.033774,2.753818,2.480575,1.892553,.8615479,1.734749,1.182319,9.417971,9.560515,9.226562,7.115385,7.481073,6.741655,0,20,4,1,0,0,0,0,0,1,0,3,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,1,0,1,1,2,0,0,1,0,2,0,2,0,0,1,1,1
9.269079,9.46525,9.119563,7.659641,7.855812,7.510125,3.875543,4.695409,4.007765,3.148493,3.28842,2.755543,1.318977,2.604282,1.882186,9.515095,10.91197,9.388747,7.905657,9.30253,7.77931,0,21,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
9.510569,9.297198,8.21744,7.207983,7.217757,6.27153,3.612721,3.334301,2.784815,2.781157,2.159251,1.421079,1.093913,1.54483,.1364481,9.847714,9.11692,8.952167,7.54513,7.037478,7.006257,0,22,4,0,0,2,0,0,1,0,1,2,0,1,1,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0
9.05354,9.34428,9.532824,6.568633,6.946385,7.134928,2.86208,3.250911,3.411338,2.197816,2.059163,2.850639,-.0561753,1.33347,.3372852,9.380706,9.869516,9.895484,6.895799,7.471621,7.497589,0,23,4,1,0,1,0,2,0,1,0,0,1,1,2,2,1,0,0,0,0,2,0,1,0,2,0,0,1,0,2,2,1,0,0,0,0,1,0,1,0,3,0,0,1,0,2,2,1,0,0
8.582449,8.247231,8.811469,6.79069,6.455472,7.01971,3.026833,2.847149,3.377268,2.106035,1.801484,2.09192,1.094477,1.008166,1.472379,9.421371,9.031152,8.847565,7.629611,7.239392,7.055805,0,24,4,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0
8.862152,9.293105,9.148552,6.664927,7.095881,6.951328,2.875015,3.496188,3.338254,1.762101,2.209843,2.274676,1.074306,1.585802,1.564671,9.140603,9.535864,9.392323,6.943379,7.33864,7.195098,0,25,4,0,1,0,1,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,2,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,1,3,1,0,0,0
8.668196,9.275681,8.609049,7.058758,7.666243,6.99961,3.150376,3.875976,2.934829,2.514095,2.755305,2.55411,.6412565,2.093964,-2.810331,8.941604,9.657828,8.895592,7.332166,8.04839,7.286153,0,26,4,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0
